"referee","avail"
1,"HJJMNNNNNN"
2,"NNJNNNNNJJ"
3,"NNJNNNNNMN"
4,"NBNNNNNNNM"
5,"BNHMNNNMBJ"
6,"BNNNJNDNJN"
7,"NNBNJNNNJN"
8,"BNJBNJNHJN"
9,"NNNNDNJJNN"
10,"MNMNNNBMNN"
11,"NJJJJJNJNN"
12,"HNNNDJNNJN"
13,"NNJDNNJNNN"
14,"NNJNDNMNJN"
15,"NJJNNJJJNJ"
16,"JNNMJBNNHN"
17,"NBHNBMNNNJ"
18,"JNNNNJBNNJ"
19,"JMNNNDJDNJ"
20,"NNNNNNHJNJ"
21,"NNJNHNJNDN"
22,"HJNJNNNNNN"
23,"BNNJNBJNNN"
24,"NBNNNJHNNN"
25,"NJNNNNNBJN"
26,"NNNJNJNNNN"
27,"JJNNNMNDNN"
28,"JJNNMNNDNN"
29,"NNNDNNHJJJ"
30,"NJNNBNNJNN"
31,"HNNJNNDNNJ"
32,"HNNNNNNJNN"
33,"JNNNJDNNDN"
34,"JJNNNNDJNJ"
35,"NDNJNHNNJH"
36,"JNJNJNNJNN"
37,"BDNJMNJNNN"
38,"NNNJMDNJNN"
39,"HNJNNJMDNH"
40,"NNNNMNJNJJ"
41,"JNNNJNMBDN"
42,"HJJHNNMNNN"
43,"BNHNNNJJHJ"
44,"JDNJJDDHNN"
45,"NNNDNNNNMB"
46,"HMNNNNNJDN"
47,"HNNNJJNNNN"
48,"NDNNJNNNMN"
49,"NNMNNNNHHN"
50,"JDNNNBNNJD"
51,"JNNNNJNNJJ"
52,"DNBNHNHNNB"
53,"NDJDDJNJNJ"
54,"NNNMHNBBNN"
55,"NMNNNNNJJN"
56,"BDNBJJNNBM"
57,"DJNHNNNJDN"
58,"JNNJNNNNNJ"
59,"JNNNDNJBMJ"
60,"NNNNNNDJNM"
61,"JJNNJNHJHN"
62,"NBDJHNNBBH"
63,"NJNNNNNNNN"
64,"NJNNNNDNBD"
65,"JBJNNNNJNN"
66,"NHNNMNNNNH"
67,"NNMNNNNBNN"
68,"HJNNNNNNNN"
69,"NNNNNJNJNN"
70,"NNNNNHJNHH"
71,"NNNBNHJDBH"
72,"NJNJNDNNJB"
73,"NNNNNNHJDJ"
74,"JJNNNJNNNJ"
75,"NNNMNJNJNN"
76,"DNNJMNNNNM"
77,"MDNNNDJBNN"
78,"NNNNNMNNNN"
79,"NNMJNDHNJN"
80,"NNNJNHDNNJ"
81,"NNNNNJJNDB"
82,"NNNNJNNHNN"
83,"JNNJNNNNNN"
84,"DNMNNNNJNJ"
85,"HNNNNNNJNN"
86,"NNMNNMJNNB"
87,"NJJBNNNJJN"
88,"NNDMNNNNNB"
89,"JNJMNJNDNN"
90,"NNNNNNDDJJ"
91,"NNJMNNNNMN"
92,"NNMNNJJNNJ"
93,"NNJNJJMJNM"
94,"NHNNNJDMNN"
95,"NJMNNJNNNN"
96,"NNNNNMJNNN"
97,"NDNNNNNDNN"
98,"MNMMNNHNNJ"
99,"NNNBNNNJNN"
100,"NNHHNMBNNH"
101,"NNNNNJNNNJ"
102,"NJNNNNBBBH"
103,"HJNNNNJNND"
104,"JJDNDNBNJB"
105,"MHNNNNNNJN"
106,"NNNHDJNMNM"
107,"NNNJJNNJNM"
108,"NJHNJJHNJD"
109,"NNBNNNNJJM"
110,"NNNDNNJNNN"
111,"JNNBNNNNMN"
112,"NDNNHNNNNN"
113,"MJHNNHNNJN"
114,"NNNNNNDJNN"
115,"JNNNDNHJNN"
116,"NNNJNJMDNN"
117,"NJNJJNNMNN"
118,"NMHNNNNNNN"
119,"NJNNJNNNJN"
120,"NNNDJBHNNJ"
121,"NNNJBNNBJJ"
122,"NJNNNNJHNB"
123,"NNJNNNMNJN"
124,"NNNJNNNJNN"
125,"NNDNNNNMNJ"
126,"NNNNNNNHND"
127,"NNNHNNNNDD"
128,"NNNNNNMNNN"
129,"DMNDNNBBNN"
130,"NJDDNHNNDN"
131,"NNBNNNNMJH"
132,"NNJDNBMNHN"
133,"NJHNJDNJJD"
134,"DJNHNNNNNN"
135,"DHNDNHJMDJ"
136,"NNHNNNNNNH"
137,"MBNBJNNNNN"
138,"NNNNJMNNDM"
139,"JNNNNNJNHD"
140,"NJNNNJHNJN"
141,"MMNBNNNNNN"
142,"BNJHNHNNNN"
143,"JNJNJJNNNJ"
144,"JNJNDNJBJN"
145,"BNHMJNHJJN"
146,"JNJNBNNNDN"
147,"JNMJNNBNNJ"
148,"NNMNJBNJNN"
149,"NJJJBNMDDN"
150,"NNJDBNHNNN"
151,"NNNJNNNJJJ"
152,"MNNBJNNBJB"
153,"NNJDNNMBMN"
154,"NJNBNNNNJN"
155,"NDNNMNNJDN"
156,"NNHJNJHNNN"
157,"JNNMJJNNNB"
158,"NJNNNNDNNN"
159,"NJJNHNNMNB"
160,"NDNNJNJJNN"
161,"NJNBNJMNNN"
162,"JNNHNNNNNN"
163,"DNDNNMNNNN"
164,"NDJNHDBDJN"
165,"NNJNJDNMNJ"
166,"BNDJNNNNBN"
167,"NNJNNNBNJB"
168,"JNNMNNDNNN"
169,"NNNNBJHNNN"
170,"NNNNJHJJNJ"
171,"BNDNHJDJJN"
172,"NNNNNNNHNN"
173,"NNDNNDNDNN"
174,"NNNNNNHNNN"
175,"NNNHMNNDND"
176,"NJNJNNJNNN"
177,"NBNJJNHNNN"
178,"NNJNMMJDNN"
179,"JDNNNNNNMH"
180,"HNNNNJDJHN"
181,"JNNJNNBNNN"
182,"JJMNNNNNNJ"
183,"HNNJNNMNNN"
184,"NNHNNNNDBN"
185,"NNNNMMNNNJ"
186,"HDNJNNNNNJ"
187,"DJNNBNNDNJ"
188,"NJNNHNDMNJ"
189,"NNNDNNHNND"
190,"NJNNDNNNNH"
191,"JNNNNJNHNN"
192,"NNDHBJNNMN"
193,"NNNNNNNBNN"
194,"NBDNNNJNNJ"
195,"NNNNNNNNNN"
196,"NNDHMJMDBB"
197,"NDNNDNNHJH"
198,"NNNNNNNNNN"
199,"JMNNHNNNNN"
200,"MNDNJNNNNN"
