"league","day","team1","team2","venue","time","geoLat","geoLng","club1","club2","club3","club4","num_offs","toplev1","toplev2","cupmode","whprosp","offownc","lirest","nwh","id"
1,1,1,18,12,13,49.0848280046255,9.17902728413661,1,-1,18,-1,4,1,0,0,0,0,0,1,1
1,1,4,17,4,9,48.0410083920093,8.27048672939007,4,-1,17,-1,4,1,0,0,0,0,0,1,2
2,1,29,28,17,15,49.84202622666,8.37671717273958,29,-1,28,-1,4,0,1,0,0,0,0,1,3
4,1,71,76,20,11,47.9002145726747,9.79014267733629,71,-1,76,-1,4,0,0,0,1,0,2,1,4
4,1,68,74,10,17,52.3240215746928,10.2315441809721,68,-1,74,-1,4,0,0,0,1,0,2,1,5
4,1,61,79,13,11,48.3274433451934,9.09607451757178,61,-1,79,-1,4,0,0,0,1,0,2,1,6
1,2,11,20,10,13,52.3240215746928,10.2315441809721,11,-1,20,-1,4,1,0,0,0,0,0,1,7
2,2,26,36,2,11,50.0208601497582,10.7319868602624,26,-1,36,-1,4,0,1,0,0,0,0,1,8
2,2,35,39,18,15,50.5381428276681,9.07179275348618,35,-1,39,-1,4,0,1,0,0,0,0,1,9
2,2,40,22,14,13,50.3687051278499,7.88158038951124,40,-1,22,-1,4,0,1,0,0,0,0,1,10
3,2,48,58,19,11,49.9777669743382,10.9760519388776,48,-1,58,-1,4,0,0,0,0,0,1,1,11
4,2,66,69,14,11,50.3687051278499,7.88158038951124,66,-1,69,-1,4,0,0,0,1,0,2,1,12
5,2,93,87,9,15,48.1137375985981,8.27105410402909,93,-1,87,-1,4,0,0,0,1,1,2,1,13
1,3,10,14,6,17,51.5599403159845,10.2080719248927,10,-1,14,-1,4,1,0,0,0,0,0,1,14
1,3,15,11,7,17,50.123755231282,10.4190262178974,15,-1,11,-1,4,1,0,0,0,0,0,1,15
2,3,35,39,18,13,50.5381428276681,9.07179275348618,35,-1,39,-1,4,0,1,0,0,0,0,1,16
2,3,36,31,10,11,52.3240215746928,10.2315441809721,36,-1,31,-1,4,0,1,0,0,0,0,1,17
