221
90
73
1.6
2.0
250
700
260
140
0,36,135
1,2,125,3.31,4.16,0.04,400
2,31,93,0.27,0.68,0.05,40
3,74,81,0.47,1.40,0.08,450
4,94,86,6.39,6.80,0.04,20
5,138,94,1.09,1.59,0.07,500
6,101,121,4.47,4.95,0.08,20
7,86,153,2.35,3.42,0.23,475
8,130,132,3.07,3.71,0.03,475
9,174,144,1.51,2.10,0.07,20
10,180,154,5.74,6.44,0.06,20
11,205,172,2.97,3.70,0.06,25
12,214,127,6.80,7.64,0.05,475
13,185,129,1.65,2.33,0.34,25
14,188,171,3.45,4.51,0.06,35
15,197,205,5.26,6.48,0.22,400
16,201,221,3.31,4.10,0.03,40
17,169,244,4.27,4.96,0.04,400
18,163,215,5.61,6.01,0.04,40
19,117,208,7.19,8.07,0.03,375
20,96,200,0.94,1.98,0.07,500
21,55,180,7.76,8.53,0.04,450
22,30,135,0.00,0.94,0.06,475
23,67,149,2.85,3.64,0.04,30
24,90,175,0.85,1.24,0.06,35
25,106,182,2.41,3.00,0.08,35
26,138,210,7.81,8.24,0.07,25
27,161,207,4.47,5.45,0.03,325
28,204,203,2.46,2.96,0.05,450
29,215,243,2.88,3.78,0.08,425
30,206,242,2.39,2.80,0.07,30
31,178,222,8.07,8.92,0.04,20
32,171,216,5.81,6.39,0.06,300
33,136,224,3.99,4.98,0.06,500
34,121,243,3.74,4.53,0.07,30
35,115,223,7.60,8.10,0.04,375
36,144,232,2.16,2.92,0.03,425
37,152,243,7.09,7.84,0.07,30
38,108,205,5.97,6.49,0.05,20
39,149,197,3.21,3.91,0.04,30
40,178,179,4.71,5.25,0.07,40
41,202,159,6.09,6.69,0.04,425
42,185,180,4.87,5.53,0.05,30
43,136,182,2.62,2.96,0.03,40
44,182,206,5.60,5.98,0.05,375
45,149,158,2.84,3.36,0.06,30
46,131,114,2.59,3.53,0.39,475
47,122,79,7.31,7.95,0.04,20
48,137,57,1.31,2.08,0.06,20
49,116,99,2.81,3.43,0.07,500
50,115,125,5.41,5.99,0.06,30
51,93,169,3.78,4.64,0.07,30
52,61,129,0.17,0.85,0.06,20
53,38,96,6.30,7.00,0.08,375
54,16,74,6.80,7.41,0.06,30
55,18,51,5.14,5.63,0.06,350
56,47,55,7.04,7.84,0.06,40
57,75,58,1.41,2.46,0.06,375
58,109,66,3.39,4.21,0.23,40
59,146,95,6.70,7.20,0.08,35
60,177,106,4.22,5.20,0.04,20
61,221,77,5.44,5.86,0.06,450
62,236,47,3.42,4.37,0.04,25
63,220,9,3.91,5.10,0.47,40
64,226,46,2.72,3.75,0.08,300
65,211,3,7.43,7.79,0.04,30
66,194,44,4.72,5.66,0.06,350
67,241,57,4.60,5.53,0.08,350
68,205,24,6.51,7.47,0.06,40
69,240,71,5.49,6.37,0.03,20
70,200,109,2.29,3.16,0.23,35
71,225,145,7.12,8.15,0.07,20
72,201,132,3.98,4.37,0.06,20
73,196,118,3.55,4.43,0.05,475
74,170,109,7.22,8.14,0.07,325
75,162,62,7.74,8.73,0.07,40
76,114,79,1.32,2.09,0.06,30
77,89,105,5.19,6.33,0.25,30
78,73,118,1.32,1.68,0.03,425
79,61,153,4.36,5.20,0.06,30
80,51,168,7.98,8.39,0.04,30
81,13,148,1.72,2.14,0.07,375
82,30,189,3.55,4.19,0.08,425
83,50,238,5.51,6.55,0.26,25
84,42,236,3.69,4.70,0.05,375
85,13,216,0.96,1.93,0.05,500
86,34,225,5.58,6.36,0.04,375
87,13,192,3.18,4.00,0.04,300
88,23,152,1.27,2.20,0.05,25
89,49,113,2.58,3.48,0.03,40
90,90,115,1.66,2.26,0.06,30
